16-01	Tam kin bajuwits in tamub, an uxum ani an inikchik, k'wajat jolat abal ka tomkin ani kin inkiychik juni k'imadh, ka k'wajiychik ti k'imadh ani max kin bajuwchik ka jilaxin, in tomnalchik ka k'ak'nachik ani ka pidhan jununul in uchbil.
16-02	Yab jita' in tomnal ka tomkiyat k'al i tsaplab, kom al juni tomkintalab in tomal ka k'wajiychik kulbel jant'ini'an uxum ani an inik.
16-03	An k'imadh jats in tujtal an xe'tsintalab, jaxtam an eyal in kwa'al tin uchbil kin k'ak'na', kin beletna' ani kin k'aniy abal yab ka buk'lun.
17-00	Lajubukchil tsalap (art. 17).
17-01	Patal an k'wajil in kwa'al in uchbil kin ko'oy i k'aiab tin kwetemtal ani jayej axi dhey, max anits tin le'.
17-02	Mani jita' yab in tomnal ka aik'idh takchikinchat in k'alabil.
18-00	Lajuwaxikchil tsalap (art. 18).
18-01	Patal k'wajat jolat abal kin kwetem ko'oy in tsalapil ani in belkaxtal, ani abal kin t'aja' ani kin tejwamedha'tin k'ima'ani ju'tamits kin le'na', nixe' xi belkaxtalab, tin kwetemtal ani ti mudhel; jayetsej abal kin jalk'uy in belkaxtal tam kin le'na'.
19-00	Lajubelewchil tsalap (art. 19).
19-01	Patal jolat abal kin tejwamedha' in tsalap ani in kawintal; axe' xi uchbidhtalab jayetsej in ulal abal yab in tomnal ka k'e'atnaj tin ebal in tsalapil; jayetsej abal kin aliy ani kin bats'uw pil i tsalap ani abal kin buk'uw ma ju'tamakits kin le'na' ani k'ai jawakits tam eyixtalab.
20-00	Jun inikchil tsalap (art. 20).
20-01	Patal jolat abal ka ts'at'ey k'al jawakits tam junkudhtalab abal ka dhey t'ojon ani kin k'aniychik tin ba'.
20-02	Yab jita in tomnal ka t'ajchin i tsaplab abal expidh ka ts'at'ey al juni dhey t'ojlab max yab in le'.
21-00	Jun inikjunchil tsalap (art. 21).
21-01	Patal an k'wajil in kwa'al tin uchbil ti t'aja' ti eyal ani kin bijiy jita' in kulbetnal ti eyal tin kwenchal.
21-02	Patal in kwa'ai tin uchbil ka tolmiyat abal kin bajuw ka ulits al an pulik eyaltai{ab tin kwenchal.
21-03	Tin kawintal an bichow taja'its ti k'wajat in tujtal an eyaltalab. An bichow in tomnal kin bijiy in eyalil ani an eyal kwa'al kin t'aja' jawa'kin uluw an bichow.
22-00	Jun iniktsabchil tsalap (art. 22).
22-01	Patal an k'wajil in kwa'al tin uchbil kin bats'uw an alwa'talab jawa' ka wa'tsin tin kwenchal ani kin ko'oy jawa' in yejenchal abal ka k'aputs, abal kin puwedha' in xe'ets ani abal kin yanedha' in exobintal ani kin puwedha' in ey ani in tsalap.
23-00	Jun inik oxchil tsalap (art. 23).
23-01	Patal in uchbil tin kwa'al abal kin ko'oy juni t'ojlab ani abal kin kwetem takuy in t'ojlabil jawa'its in kulbetnal ani in tomnal ka tolmiyat tam yab in kwa'al ju'taj ti ka t'ojon.
23-02	Jununul in kwa'al in uchbil ka alwa' jalbinchat in t'ojlabil ani abal yab ka k'e'atnaj.
23-03	Patal an t'ojnal in tomnal ka pidhan juni alwa' jalbixtalab axi kin bajuw abal kin bela' in yanetal ani kin ejtow kin pidha' patal jawa'its in tomnal abal ka alwa' k'wajiy juni k'imadh.
23-04	Tin yanel an k'wajil jolat abal kin junkuw tin ba' abal ka t'ojon ani abal kin k'aniychik in t'ojlabil.
24-00	Jun iniktse'chil tsalap (art. 24).
24-01	Patal in kwa'al tin uchbil abal ka koyots jun we' ti t'ojnal ani abal ka jalbinchat an koytalab.
25-00	Jun inikbo'chil tsalap (art. 25).
25-01	Patal in kwa'al in uchbil kin ko'oy an alwa'talab abal kin ejtow kin pijchiy in yanetal, kin ilaliy,kin ko'onchij in k'ima', ani kin pidha' jawa'its kin yejenchij; jayetsej in tomnal ka pidhan i tolmixtalab tam yab kin ko'oy i t'ojlab, tam ka yaw'lats, tam ka jilk'on tsemchidh, tam k'watits al an yejtsetalab ani max kin wat'a' juni yajchiktalab axi kin t'aja' abal yabats kin ejtow ti t'ojnal.
25-02	Tam t'ele'lidh juni mimlab, in tomnal ka alwa' beletnaj, jaja' ani in tsakamil. Patal an tsakam axi ka wa'tsin ti al juni tomkidh k'imadh ani axi ibaj, jayetsej in tomnal jununul ka k'anidhaj.
26-00	Jun inik akakchil tsalap (art. 26).
26-01	Patal in tomnal in tomnal ka pidhan juni exobintalab aik'idh. An k'a'al exobintalab in tomnal ka binaj abal patal. An exobintalab tin kwentaj an t'ojlab, in yejenchal ka yanedhaj; aniyk'ij tin tomnal ka binaj an exobintaiab axi ebalits in alwa'.
26-02	An exobintalab in tomnal kin t'aja' abal jun ka yaney in tsalap ani kin puwedha' in ey jita' axi exobal; kin k'anidha' in juntal ani kin k'ak'nanchij in tsalapil ani in ey. Jayetsej in tomnal abal kin t'aja' abal kin beldha' an t'ojlab axin t'ajal an ONU abal ets'ey ka wa'tsin an koyataiab ti al an tsabai.
26-03	An tatalabchik in kw'al in ejet abal kin takuy an exobintalab axin le'nanchal abal in tsakamil.
27-00	Jun inikbukchil tsalap (art. 27).
27-01	Patal in kwa'ai in uchbil kin bats'uw an alwa'talab axi ka wa'tsin ti al an exobintalab, kin k'anidha' ani kin beletna' an exobintalab.
27-02	Patal in kwa'al tin uchbil abal kin k'aniy an tsalap axi alwa' ani patal jawa' in wa'tsindhal an exobintalab.
28-00	Jun inik waxikchil tsalap (art. 28).
28-01	Patal in tomnal kin ko'oy juni xe'tsintalab juntij ka ejtowat ka putuwat jawa' axi teje' jilk'onal uludh al axe' xi dhey tsalap.
29-00	Jun inik belewchil tsalap (art. 29).
29-01	Patal in kwa'al tin uchbil ka t'ojon abal kin puwedha' in kwenchal, kom, taja'its tin tomnal ku yejey ani ki puwedha' ti ba'.
29-02	Patal jawa' ki le'na', ne'ets ki ejtow ki t'aja'; expidh yab walkadh abal ki odhna' i juntal, abal ki uk'pinchij in tsalap ani abal ki t'ajchij i tsaplab abal ki jalk'unchij in tsalapil, kom max ki t'aja' ani', yabats i jalpiyalits an kaw.
29-03	Axe'chik xi uchbilab, yab in tomnal ni jayk'i' kin tomolna' jawa' in tsalpayal ani t'ajal an "Naciones Unidas".
30-00	Jun inik lajuchil tsalap (art. 30).
30-01	Mani jita' kin tsalpay abal axe' xi dhey tsalap in binal i k'ij abal ka t'ajan juni pojkaxtalab, juntij ka t'apiyat abal ka eyan an uchbilab jawa' teje' bijidh al axe' xi dhey tsalap.
